Project Name,Package Name,Type Name,Code Smell
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspCode,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspElement,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspEval,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspEval,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspFunction,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspFunction,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspText,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.template.jsp,JspText,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.tools.validator,Validator,Imperative Abstraction
monalisa-orm,com.tsc9526.monalisa.tools.validator,Validator,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.tools.xml,XMLDocument,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa,InitTestDatabase,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa,TestConstants,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa,TestConstants,Broken Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.config,TestDBConfig,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.criteria,WhereTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dao,UpdateTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,DruidDataSourceTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDruidA,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDruidB,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDruidC,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,InnerConfigClass,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,SimpleDataSourceTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,SimpleDataSourceTest,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDataSourceA,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDataSourceB,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDataSourceB,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,SimpleConfigB,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.datasource,testDataSourceC,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseRecordTest,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseRecordTest,Insufficient Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseDbConfigTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseTable,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseTable,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,BaseTable,Insufficient Modularization
